PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
38014519,Genetic testing and counseling challenges in personalized breast cancer care: review article with insights from Türkiye.,2024-05-01,Ozturk Saglam Ozge Fulya; Aver Birkan,Pfizer,None
35236002,Evaluation of pharmacokinetics and safety of talazoparib in patients with advanced cancer and varying degrees of hepatic impairment.,2022-07-01,Guo Cen; Yu Yanke; Chakrabarti Jayeta; Moroose Rebecca; Shi Haihong; Durairaj Chandrasekar; Wang Diane D,Pfizer; Orlando Health,None
26743742,HESI/FDA workshop on immunomodulators and cancer risk assessment: Building blocks for a weight-of-evidence approach.,2016-03-01,Weinstock D,Janssen Research & Development,hlebrec@amgen.com.
31372057,A systematic review of the international prevalence of <i>BRCA</i> mutation in breast cancer.,2019-01-01,Armstrong Nigel; Ryder Steve; Forbes Carol; Ross Janine; Quek Ruben Gw,Kleijnen Systematic Reviews; Pfizer,None
34062620,The value of new drugs for advanced prostate cancer.,2021-09-15,Fox Kathleen M,Strategic Healthcare Solutions,None
38653037,Treatment Patterns and Clinical Outcomes Among Patients With Metastatic Prostate Cancer Harboring Homologous Recombination Repair Mutations.,2024-06-01,Bobbili Priyanka J; Ivanova Jasmina; DerSarkissian Maral; Chang Jane; Niyazov Alexander; Muthukumar Aruna; Guo Tracy; Mohan Manasi; Zhang Adina; Duh Mei Sheng,Analysis Group; Pfizer,Priyanka.Bobbili@analysisgroup.com.
37713020,Impact of Concomitant Cardiovascular Therapies on Efficacy and Safety of Relugolix vs Leuprolide: Subgroup Analysis from HERO Study in Advanced Prostate Cancer.,2023-11-01,Brown Bruce; Lu Sophia; Fallick Mark; Hanson Sarah,Myovant Sciences; Pfizer,NShore@gsuro.com.
34671701,Voice Analysis of Cancer Experiences Among Patients With Breast Cancer: VOICE-BC.,2021-01-01,Auil Maria J; Berg Kiersten,Quid,None
34604802,Effectiveness and Safety of Oral Anticoagulants Among Nonvalvular Atrial Fibrillation Patients With Active Cancer.,2021-09-01,Luo Xuemei,Pfizer,None
25123209,Antibody-drug conjugates: an emerging modality for the treatment of cancer.,2014-08-01,Leal Mauricio,Department of,None
37803017,Genomic analysis of advanced breast cancer tumors from talazoparib-treated gBRCA1/2mut carriers in the ABRAZO study.,2023-10-06,Laird A Douglas; Chelliserry Jijumon; Chen Ying; Conte Umberto,Pfizer,Nicholas.Turner@icr.ac.uk.
27013405,The State of Lung Cancer Research: A Global Analysis.,2016-07-01,Roe Philip,Evaluametrics,ajay.aggarwal@kcl.ac.uk.
33275038,"Toxicities of axitinib, sunitinib and temsirolimus: implications for progression-free and overall survival in metastatic renal cell cancer.",2021-01-01,Woike Michael,Pfizer Pharma,None
36751300,The Saudi Consensus for the Management of Cancer-Associated Thromboembolism: A Modified Delphi-Based Study.,2023-01-01,Osman Ahmed,Pfizer,None
20691711,"An ""Omics"" based survey of human colon cancer.",2010-11-10,Nambiar Prashant R,Pfizer,prashant.nambiar@pfizer.com
36226872,Does race make a difference in how long men with advanced prostate cancer live when treated with abiraterone or enzalutamide?,2022-10-13,Schultz Neil M,Astellas,None
15922853,c-Met as a target for human cancer and characterization of inhibitors for therapeutic intervention.,2005-07-08,Christensen James G,Research,james.christensen@pfizer.com
31955338,Inpatient and outpatient treatment patterns of cancer-associated thrombosis in the United States.,2020-08-01,Hlavacek P,Pfizer,Jennifer.Guo@bms.com.
28652278,Palbociclib Combined with Fulvestrant in Premenopausal Women with Advanced Breast Cancer and Prior Progression on Endocrine Therapy: PALOMA-3 Results.,2017-09-01,Loibl Sibylle; Hoffman Justin; Zhang Ke,German Breast Group GBG Forschungs; Pfizer,Sibylle.Loibl@gbg.de.
29271081,"Incidence and risk factors of postoperative pneumonia following cancer surgery in adult patients with selected solid cancer: results of ""Cancer POP"" study.",2018-01-01,Seo Bo-Jeong; Kim Young-Joo; Park Seong-Beom,Pfizer Pharmaceuticals Korea,None
36319831,Epidemiological Study Regarding the Incidence of Venous Thromboembolism in Patients After Cancer Remission.,2022-12-01,Imura Miki; Katada Jun,Pfizer Japan,miki.imura@pfizer.com.
31322208,A systematic review of the prevalence of DNA damage response gene mutations in prostate cancer.,2019-09-01,Lang Shona H; Swift Stephanie L; White Heath; Misso Kate; Kleijnen Jos; Quek Ruben G W,Kleijnen Systematic Reviews; Pfizer,None
30891558,AMPK promotes the survival of colorectal cancer stem cells.,2018-06-01,Guo Bing,Novartis,None
35118821,Effect of enzalutamide on PK of P-gp and BCRP substrates in cancer patients: CYP450 induction may not always predict overall effect on transporters.,2022-05-01,Poondru Srinivasu; Khosravan Reza; Manchandani Pooja; Heo Nakyo; Moy Selina; Wojtkowski Tomasz; Patton Melanie; Haas Gabriel P,Astellas Pharma; Pfizer,None
38234214,Disparities in care of older adults of color with cancer: A narrative review.,2024-02-01,Ryan Joanne C,Pfizer,None
37014080,Real-World Treatment Trends Among Patients with Metastatic Castration-Sensitive Prostate Cancer: Results from an International Study.,2023-09-07,Ivanova Jasmina; Niyazov Alexander,Pfizer,None
30111973,Real-world patient- and caregiver-reported outcomes in advanced breast cancer.,2018-08-01,Lambert-Obry V; Gouault-Laliberté A; Castonguay A; Zanotti G; Lachaine J,PeriPharm; Pfizer,None
38143206,Testosterone Recovery for Relugolix Versus Leuprolide in Men with Advanced Prostate Cancer: Results from the Phase 3 HERO Study.,2024-08-01,Hanson Sarah; Brown Bruce; Lu Sophia; Fallick Mark,Pfizer; Myovant Sciences,rtutrone@uniteduro.com.
35471070,The cost impact of disease progression to metastatic castration-sensitive prostate cancer.,2022-05-01,Chaves Leonardo Passos; Feng Qi; Zhu Julia; Abbott Thomas,Astellas,None
37662184,Order-of-mutation effects on cancer progression: models for myeloproliferative neoplasm.,2023-08-22,Shtylla Blerta,Quantitative Systems,None
37645049,Order-of-mutation effects on cancer progression: models for myeloproliferative neoplasm.,2023-08-19,Shtylla Blerta,Quantitative Systems,None
31011205,Genomic and transcriptomic profiling expands precision cancer medicine: the WINTHER trial.,2019-05-01,Afshar Mohammad; Martini Jean-François,Ariana; Pfizer,rkurzrock@ucsd.edu.
39235063,Patterns and outcomes in HR+/HER2- advanced/metastatic breast cancer patients in Brazil receiving palbociclib.,2024-01-01,Simon Patricia; Jain Ankita; Guarin Alexandra; Piton Luciana,Pfizer,None
37185407,Psychosocial Wellbeing among Patients with Breast Cancer during COVID-19.,2023-03-30,Liu Xianchen; Kurosky Samantha K; Li Benjamin; McRoy Lynn,Pfizer,None
26541643,"Risk of gastric cancer, gastrointestinal cancers and other cancers: a comparison of treatment with pantoprazole and other proton pump inhibitors.",2016-01-01,Kolitsopoulos F,Pfizer,None
31668001,Incidence rates of cardiovascular outcomes in a community-based population of cancer patients.,2019-12-01,Titievsky Lina,Pfizer,None
32020841,Budget Impact of Enzalutamide for Nonmetastatic Castration-Resistant Prostate Cancer.,2020-04-01,Schultz Neil M,Astellas,None
20141331,A survey of cancer cell lines reveals highly structured and hierarchical relationships within and between DNA and mRNA that may be the result of selection.,2010-02-01,Xie Tao,Rosetta Inpharmatics,Tao.Xie@pfizer.com
31535940,Effect of DNA damage response mutations on prostate cancer prognosis: a systematic review.,2019-10-01,Swift Stephanie L; Lang Shona H; White Heath; Misso Kate; Kleijnen Jos; Quek Ruben Gw,Kleijnen Systematic Reviews; Pfizer,None
15758351,Skeletal implications of prostate cancer.,2003-06-01,Bagi C M,Pfizer,cedo_bagi@groton.pfizer.com
32691438,Discordance Between Child-Pugh and National Cancer Institute Classifications for Hepatic Dysfunction: Implications on Dosing Recommendations for Oncology Compounds.,2021-01-01,Elmeliegy Mohamed; Yang Derek Z; Salama Engie; Parivar Kourosh; Wang Diane D,Pfizer; Skaggs School of Pharmacy &,None
37139257,Patient Willingness to Use Digital Health Technologies: A Quantitative and Qualitative Survey in Patients with Cancer Cachexia.,2023-01-01,Tarasenko Lisa; LaRonde-Richard Ann-Marie; Kessler Nancy; Rossulek Michelle; Plate Hans; Mahoney Kim,Pfizer; Pensari,None
34256965,Health-Related Quality of Life Among Patients With HR+/HER2- Early Breast Cancer.,2021-07-01,Spurden Dean,Pfizer,None
19963098,Mammalian target of rapamycin: discovery of rapamycin reveals a signaling pathway important for normal and cancer cell growth.,2009-12-01,Gibbons James J,Pfizer,gibbonj@wyeth.com
39661316,Correction: Population Pharmacokinetic Analysis of Tucatinib in Healthy Participants and Patients with Breast Cancer or Colorectal Cancer.,2025-01-01,Zhang Daping; Endres Christopher J; Topletz-Erickson Ariel,Pfizer,Ariel.Erickson@pfizer.com.
31066140,Health-related quality of life associated with different cancer treatments in Chinese breast cancer survivors in Taiwan.,2019-07-01,Wen Yao-Chun; Fang Wei-Tse,Pfizer PFE,None
31128428,Development of predictive models to identify advanced-stage cancer patients in a US healthcare claims database.,2019-08-01,Yin Ruihua; Desai Vibha C A; Lyons Jennifer G; Lanes Stephan,HealthCore,slanes@healthcore.com.
35350106,Awareness and Availability of Routine Germline <i>BRCA1/2</i> Mutation Testing in Patients with Advanced Breast Cancer in Germany.,2022-02-01,Runkel Eva Diana; Niyazov Alexander; Quek Ruben G W,Pfizer Pharma; Pfizer,None
36199494,Timely Genetic Testing and Therapy Management in Patients With g<i>BRCA</i>-Mutated Metastatic Breast Cancer Receiving Talazoparib.,2022-09-01,Ryan Joanne C; Barnett Chad M; Soussou Elpitha L,Pfizer,None
22077502,Putting the cardiovascular safety of aromatase inhibitors in patients with early breast cancer into perspective: a systematic review of the literature.,2011-12-01,Younus Muhammad,Pfizer,None
29229993,Therapeutic relevance of the PP2A-B55 inhibitory kinase MASTL/Greatwall in breast cancer.,2018-05-01,VanArsdale Todd; Shields David,Pfizer,malumbres@cnio.es.
32460197,Ophthalmological assessment of crizotinib in advanced non-small-cell lung cancer.,2020-07-01,Monti Katherine,Rho,ben.solomon@petermac.org.
38201491,Financial Toxicity among Patients with Breast Cancer during the COVID-19 Pandemic in the United States.,2023-12-21,Wu Yan; Liu Xianchen; Li Benjamin; McRoy Lynn,Ernest Mario School of; Pfizer,None
38298745,Implications of Delayed Testosterone Recovery in Patients with Prostate Cancer.,2024-02-01,Hong Agnes; Dufour Robert; Marden Jessica R; Kirson Noam Y; Gatoulis Sergio C; Kongara Serena; Gandhi Raj,Pfizer; Myovant Sciences; Analysis Group,None
28463012,Comparison of palbociclib in combination with letrozole or fulvestrant with endocrine therapies for advanced/metastatic breast cancer: network meta-analysis.,2017-08-01,Mitra Debanjali; Iyer Shrividya,b Pfizer,None
28318331,Docetaxel chemotherapy in metastatic castration-resistant prostate cancer: cost of care in Medicare and commercial populations.,2017-06-01,Bui C; Fitch K; Sawhney T Goss; Brown B; Flanders S; Balk M; Deangelis J,b Astellas; c Milliman; d Formerly of Medivation,None
37882319,Heterogeneous distributions in clinical events preceding anticoagulant treatment nonpersistence in patients with venous thromboembolism stratified by active cancer: A nationwide cohort study.,2023-11-01,Choi Songhwa; Lee Daye,Pfizer Korea,None
35218313,Addressing unmet needs for people with cancer cachexia: recommendations from a multistakeholder workshop.,2022-04-01,Birnbaum Morris J,Pfizer,None
35191170,Utilizing restricted mean duration of response for efficacy evaluation of cancer treatments.,2022-09-01,Huang Bo,Pfizer,None
38135714,"The impact of circulating protein levels identified by affinity proteomics on short-term, overall breast cancer risk.",2024-03-01,Huang Tzu-Hsuan,Pfizer,felix.grassmann@ki.se.
39077892,"Identification of the Clinical Candidate <b>PF-07284890</b> (<b>ARRY-461</b>), a Highly Potent and Brain Penetrant BRAF Inhibitor for the Treatment of Cancer.",2024-08-08,Ren Li; Moreno David; Barbour Patrick; Bettendorf Tanna; Bouhana Karyn; Fell Jay B,Enliven,None
32194831,Targeting microtubules sensitizes drug resistant lung cancer cells to lysosomal pathway inhibitors.,2020-01-01,Settleman Jeff,Pfizer,None
23820871,Combined gemcitabine and CHK1 inhibitor treatment induces apoptosis resistance in cancer stem cell-like cells enriched with tumor spheroids from a non-small cell lung cancer cell line.,2013-12-01,Fang Douglas D,Pfizer,douglasfang@yahoo.com.
37487056,Real-World Effectiveness of Palbociclib Plus Aromatase Inhibitors in African American Patients With Metastatic Breast Cancer.,2023-10-03,Liu Xianchen; Li Benjamin; McRoy Lynn; Chen Connie,Pfizer,None
29983880,Ipilimumab plus nivolumab and DNA-repair defects in AR-V7-expressing metastatic prostate cancer.,2018-06-19,Veeneman Brendan A; Wang Yipeng; Jendrisak Adam; Graf Ryon P; Dittamore Ryan,Pfizer; Epic Sciences,None
25592564,Cell Index Database (CELLX): a web tool for cancer precision medicine.,2015-01-01,Ching Keith A,Pfizer,keith.ching@pfizer.com.
19826365,Other paradigms: health-related quality of life as a measure in cancer treatment: its importance and relevance.,2009-01-01,Trask Peter C,Pfizer,Peter.C.Trask@Pfizer.com
33498797,Real-World Palbociclib Use in HR+/HER2- Advanced Breast Cancer in Canada: The IRIS Study.,2021-01-24,Zhan Lin; Mitra Debanjali,Pfizer,None
30767568,Current situation and challenges regarding biosimilars in Japan: an example of trastuzumab biosimilars for breast cancer.,2019-04-01,Tajima Kentaro; Tanabe Kosuke,Pfizer Japan,None
38363386,Order-of-Mutation Effects on Cancer Progression: Models for Myeloproliferative Neoplasm.,2024-02-16,Shtylla Blerta,Pharmacometrics and Systems,tomchou@ucla.edu.
15758396,Cancer cell metastases.,2002-12-01,Bagi C M,Pfizer,cedo_bagi@groton.pfizer.com
39813906,Racial Differences in Survival and Healthcare Resource Utilization Among Medicaid-Insured Adults With Metastatic Prostate Cancer.,2025-04-01,DerSarkissian Maral; Gupta Deepshekhar; Ivanova Jasmina; Niyazov Alexander; Zanardo Enrico; Guo Tracy; Wang Jingru; Duh Mei Sheng,Analysis Group; Pfizer; Flatiron Health,Maral.DerSarkissian@Analysisgroup.com.
36226865,Which traits affect how long patients with advanced prostate cancer live when treated with enzalutamide?,2022-11-01,Steinberg Joyce; Sugg Jennifer,Astellas Pharma,None
30352060,Cost-effectiveness of ALK testing and first-line crizotinib therapy for non-small-cell lung cancer in China.,2018-01-01,Fu Shijun; Ren Hongye,Pfizer China,None
27015560,mTOR complex-2 stimulates acetyl-CoA and de novo lipogenesis through ATP citrate lyase in HER2/PIK3CA-hyperactive breast cancer.,2016-05-03,Toral-Barza Lourdes; Shi Celine; Wu Jiang,Pfizer,None
26498688,PIK3CA mutation detection in metastatic biliary cancer using cell-free DNA.,2015-11-24,Lira Maruja; Deng Shibing,Pfizer,None
21750698,Predictive genes in adjacent normal tissue are preferentially altered by sCNV during tumorigenesis in liver cancer and may rate limiting.,2011-01-01,Lamb John R,Rosetta Inpharmatics,john.lamb@pfizer.com
39503549,Plain language review: the safety of relugolix combination therapy for advanced prostate cancer.,2025-01-01,Flanders Scott C; Gatoulis Sergio C,Sumitomo Pharma America; Pfizer,None
29946798,Patterns of Bicalutamide Use in Prostate Cancer Treatment: A U.S. Real-World Analysis Using the SEER-Medicare Database.,2018-09-01,Schultz Neil M; Flanders Scott C; Barlev Arie; Quek Ruben G W,Astellas Pharma; Pfizer,dimmerj@karmanos.org.
30207163,Treatment satisfaction in women receiving palbociclib combination therapies for advanced/metastatic breast cancer.,2019-01-01,Mitra Debanjali; Iyer Shrividya,Pfizer,None
29796165,Preclinical evaluation of a GFRA1 targeted antibody-drug conjugate in breast cancer.,2018-05-01,Bosco Emily E; Christie R James; Carrasco Rosa; Sabol Darrin; Zha Jiping; DaCosta Karma; Brown Lee; Kennedy Maureen; Meekin John; Phipps Sandrina; Ayriss Joanne; Du Qun; Bezabeh Binyam; Chowdhury Partha; Breen Shannon; Chen Cui; Reed Molly; Hinrichs MaryJane; Zhong Haihong; Xiao Zhan; Dixit Rakesh; Herbst Ronald; Tice David A,MedImmune,None
37141847,"A phase II open-label trial of avelumab plus axitinib in previously treated non-small-cell lung cancer or treatment-naïve, cisplatin-ineligible urothelial cancer.",2023-06-01,Poddubskaya E V,Vitamed,galffy.gabriella@torokbalintkorhaz.hu.
24376576,Exome sequencing identifies early gastric carcinoma as an early stage of advanced gastric cancer.,2013-01-01,Wang Kai,Pfizer,None
30002437,Neoadjuvant PF-05280014 (a potential trastuzumab biosimilar) versus trastuzumab for operable HER2+ breast cancer.,2018-08-01,Hilton Fiona; Coppola Jennifer; Jacobs Ira,Pfizer,ira.jacobs@pfizer.com.
15758355,Intra-tibial injection of human prostate cancer cell line CWR22 elicits osteoblastic response in immunodeficient rats.,2003-06-01,Andersen C,Pfizer,cedo_bagi@groton.pfizer.com
19058146,Future perspectives on the treatment issues associated with cancer and aging.,2008-12-15,Trask Peter C,Pfizer,peter.c.trask@pfizer.com
34589999,Real-World Evidence of Diagnostic Testing for Driver Oncogene Mutations in Lung Cancer in Japan.,2021-03-01,Yoshiki Yasumasa; Matsumura Koichi; Togo Kanae; Kikkawa Hironori; Iadeluca Laura; Li Benjamin,Pfizer Japan; Pfizer,None
26716558,OASIS: web-based platform for exploring cancer multi-omics data.,2016-01-01,Fernandez-Banet Julio; Esposito Anthony; Coffin Scott; Horvath Istvan Boerner; Estrella Heather; Schefzick Sabine; Deng Shibing; Wang Kai; AChing Keith; Ding Ying; Roberts Peter; Rejto Paul A; Kan Zhengyan,Pfizer,None
36251491,BLOODPAC: Collaborating to chart a path towards blood-based screening for early cancer detection.,2023-01-01,Clarke Christina A; McDole Jeremiah,GRAIL; Bio-Rad Laboratories,None
23965809,Regulatory Forum commentary: alternative mouse models for future cancer risk assessment.,2014-07-01,Morton Daniel; Nambiar Prashant R; Turner Oliver C; Radi Zaher; Bower Nancy,Pfizer; Novartis; Eisai,dan.g.morton@pfizer.com.
31778074,"Dose-escalation trial of the ALK, MET & ROS1 inhibitor, crizotinib, in patients with advanced cancer.",2020-01-01,Salgia Ravi,Department of Medical Oncology &,None
21980324,miRNA Alterations Modify Kinase Activation In The IGF-1 Pathway And Correlate With Colorectal Cancer Stage And Progression In Patients.,2011-01-01,Knowlton David L,Pfizer,None
17289896,Clinical pharmacodynamic effects of the growth hormone receptor antagonist pegvisomant: implications for cancer therapy.,2007-02-01,Yin Donghua,Pfizer,None
38682677,Impact of COVID-19 on patients with metastatic breast cancer: REthink Access to Care and Treatment survey results.,2024-01-01,Williams Clay; Rogan Michael; Block Jeremy,Greenphire,None
33993815,Exposure-response modeling of the effect of glasdegib on cardiac repolarization in patients with cancer.,2021-07-01,Fostvedt Luke K; Shaik Naveed; Ruiz-Garcia Ana,Pfizer,None
28588760,The impact of database restriction on pharmacovigilance signal detection of selected cancer therapies.,2017-05-01,Hung Eric; Wood Jennifer; Soitkar Amit; Reshef Daniel,Pfizer; Global,None
37755611,Correction to: Epidemiological Study Regarding the Incidence of Venous Thromboembolism in Patients After Cancer Remission.,2023-12-01,Imura Miki; Katada Jun,Pfizer Japan,miki.imura@pfizer.com.
27084424,Upregulation of RNA Processing Factors in Poorly Differentiated Lung Cancer Cells.,2016-04-01,Geles Kenneth G; Zhong Wenyan; O'Brien Siobhan K; Baxter Michelle; Loreth Christine; Damelin Marc,Pfizer,marc.damelin@pfizer.com.
26716514,Functional genomics screen identifies YAP1 as a key determinant to enhance treatment sensitivity in lung cancer cells.,2016-05-17,Yu Jiyang,Pfizer,None
39466588,Perspectives on Drug Product Design Among Patients with Lung Cancer in the United Kingdom.,2024-12-01,Baig Louis Edward; Ogden-Barker Michaela; Doody Colm,Pfizer,albert.hauber@pfizer.com.
